Title,Description,Img,Github,Link,TechStack,Features,Category
"11","PPT ITIL Menggunakan LaTeX","Timestamp(seconds=1749314538, nanoseconds=208000000)","Project","https://github.com/Nugraa21/PPT-ITIL-LaTeX.git","https://github.com/Nugraa21/Nugra21/blob/main/src/images/PPTLTX.png?raw=true","Timestamp(seconds=1749314538, nanoseconds=208000000)","Presentasi profesional dengan LaTeX Beamer, Pembahasan konsep ITIL (Information Technology Infrastructure Library), Struktur slide yang sistematis dan informatif, Source code presentasi tersedia di GitHub","LaTeX, Beamer, Overlive","https://github.com/Nugraa21/PPT-ITIL-LaTeX.git","Proyek pembuatan presentasi mengenai ITIL (Information Technology Infrastructure Library) menggunakan LaTeX. Materi membahas dasar-dasar ITIL dan disusun dalam format presentasi profesional dengan bantuan template LaTeX Beamer."
"12","Web","Html, Css, JavaScript","https://github.com/Nugraa21/Nugra21/blob/main/public/images/w4.png?raw=true","Website himpunan mahasiswa teknik komputer sebagai pusat informasi organisasi di kembangkan dengan HTML , CSS dan JS sederhana yang saya buat untuk Tugas PWC.","https://github.com/Nugraa21/HIMATEK.git","Student organization website, Informational hub","Timestamp(seconds=1749339234, nanoseconds=936000000)","Timestamp(seconds=1749339234, nanoseconds=936000000)","Web Himatek","https://nugraa21.github.io/HIMATEK/"
"13","N/A","https://github.com/Nugraa21/HIMATEK.git","Web HIMADIGI v2 Sederhana","Timestamp(seconds=1749339525, nanoseconds=58000000)","Student organization website, Informational hub","Timestamp(seconds=1749339525, nanoseconds=58000000)","Web","https://github.com/Nugraa21/Nugra21/blob/main/public/images/w2.png?raw=true","Html, Css, JavaScript","Website himpunan mahasiswa Bisnis Digital (Web yang saya buat untuk Tugas teman saya) organisasi di kembangkan dengan HTML , CSS dan JS sederhana yang saya buat untuk Tugas PWC."
"14","","https://github.com/Nugraa21/Nugra21/blob/main/public/images/i3.png?raw=true","N/A","Ilustrasi","https://github.com/Nugraa21/Nugra21/blob/main/public/images/i3.png?raw=true","Ilustrasi Jeruk","Timestamp(seconds=1749340902, nanoseconds=365000000)","Timestamp(seconds=1749340902, nanoseconds=365000000)","https://github.com/Nugraa21/Nugra21/blob/main/public/images/i3.png?raw=true","Adobe Illustrator"
"15","https://github.com/Nugraa21/Nugra21/blob/main/src/images/m1.png?raw=true","Autentikasi Email dengan PHPMailer","Pengiriman email autentikasi (OTP, pemberitahuan), Integrasi dengan database MySQL, Mudah digunakan dan dikembangkan, Penggunaan library PHPMailer untuk pengiriman email yang andal","Timestamp(seconds=1749339894, nanoseconds=809000000)","Timestamp(seconds=1749339894, nanoseconds=809000000)","Php, MySQL, Apache, PHPMailer","Proyek ini menggunakan library PHPMailer untuk mengirim email autentikasi seperti OTP, pemberitahuan, dan lain-lain. Sistem ini dibuat dengan PHP, menggunakan database MySQL dan server Apache. Dengan PHPMailer, pengiriman email dapat berjalan dengan mudah dan aman untuk aplikasi autentikasi sederhana.","Project","./PDF/Otentikasi.pdf","https://github.com/Nugraa21/Autentikasi-OTP-lewaat-email-dengan-PHP.git"
"16","N/A","Timestamp(seconds=1749340012, nanoseconds=444000000)","Pengelolaan proses dan thread, Pengaturan prioritas proses, Monitoring penggunaan CPU dan memori, Implementasi sederhana Task Manager","Task Manager dalam Sistem Operasi","https://github.com/Nugraa21/Nugra21/blob/main/src/images/m4.png?raw=true","Timestamp(seconds=1749340012, nanoseconds=444000000)","Materi","Sistem Operasi, Manajemen Proses","./PDF/task.pdf","Materi tentang konsep dan implementasi Task Manager pada sistem operasi, termasuk pengelolaan proses, pengaturan prioritas, dan monitoring sumber daya sistem secara real-time."
"17","Timestamp(seconds=1749340175, nanoseconds=479000000)","N/A","Materi","Timestamp(seconds=1749340175, nanoseconds=479000000)","./PDF/TOKPET.pdf","Presentasi, Bisnis, Startup","https://github.com/Nugraa21/Nugra21/blob/main/src/images/m3.png?raw=true","PPT Pendiri Tokopedia & Kisah Suksesnya","Profil pendiri Tokopedia, Perjalanan dan strategi bisnis, Kisah sukses dan pelajaran berharga, Analisis dampak Tokopedia di Indonesia","Materi presentasi yang membahas profil pendiri Tokopedia, perjalanan bisnis, dan kisah sukses Tokopedia sebagai salah satu startup e-commerce terbesar di Indonesia."
"18","Web-based snake game, Interactive gameplay","Game ULAR","Timestamp(seconds=1749340502, nanoseconds=838000000)","Game","Html, Css, JavaScript","https://nugraa21.github.io/Game-ular/","Game web interaktif berbasis JavaScript yang mereplikasi permainan ular klasik sebagai proyek eksplorasi front-end.","https://github.com/Nugraa21/Game-ular.git","https://github.com/Nugraa21/Nugra21/blob/main/public/images/w3.png?raw=true","Timestamp(seconds=1749340502, nanoseconds=838000000)"
"19","hTML, CSS, JavaScript","Timestamp(seconds=1749340659, nanoseconds=484000000)","Timestamp(seconds=1749340659, nanoseconds=484000000)","https://github.com/Nugraa21/Nugra21/blob/main/src/images/m2.png?raw=true","Materi","RC4 adalah salah satu algoritma stream cipher yang terkenal karena kesederhanaan dan kecepatannya dalam proses enkripsi dan dekripsi data. Algoritma ini terdiri dari dua tahap utama, yaitu Key-Scheduling Algorithm (KSA) yang berfungsi untuk menginisialisasi array kunci berdasarkan input key, dan Pseudo-Random Generation Algorithm (PRGA) yang menghasilkan byte pseudo-acak untuk digunakan dalam proses enkripsi atau dekripsi. Pada materi ini, dijelaskan konsep dasar RC4 beserta implementasinya menggunakan HTML, CSS, dan JavaScript untuk memberikan gambaran praktis kepada pengguna.","https://github.com/Nugraa21/Metode-ENKRIPSI-RC4.git","Apa itu RC4","https://youtu.be/ExipGvhvIWU?si=pGoRU3BCXSg4mJXF","Implementasi enkripsi dan dekripsi dengan algoritma RC4, Penjelasan tahap Key-Scheduling Algorithm (KSA) dan Pseudo-Random Generation Algorithm (PRGA), Contoh kode interaktif menggunakan HTML, CSS, dan JavaScript, Visualisasi proses enkripsi untuk pemahaman lebih mudah"
"20","Html, Css, JavaScript","N/A","N/A","Web","Portofolio pribadi versi awal, Dibuat tanpa framework (pure HTML/CSS/JS), Desain sederhana dan ringan, Menampilkan biodata dan daftar proyek","Web HIMADIGI v1 Sederhana","https://github.com/Nugraa21/Nugra21/blob/main/src/images/w5.png?raw=true","Timestamp(seconds=1749340780, nanoseconds=543000000)","Timestamp(seconds=1749340780, nanoseconds=543000000)","Website himpunan mahasiswa Bisnis Digital (Web yang saya buat untuk Tugas teman saya) organisasi di kembangkan dengan HTML , CSS dan JS sederhana yang saya buat untuk Tugas PWC."
